,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0
2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1
3,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1
4,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1
5,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
6,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
7,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
8,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
9,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
10,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1
11,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1
12,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
13,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0
14,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
15,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
16,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
17,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0
18,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0
19,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
20,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
21,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0
22,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0
23,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
24,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1
25,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0
26,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
27,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
28,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
29,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
30,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
31,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
32,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
33,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
34,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
35,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
36,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
37,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
38,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
39,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
40,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
41,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
42,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0
43,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0
44,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
45,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
46,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
47,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
48,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1
49,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
50,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1
51,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0
52,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1
53,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
54,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
55,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
56,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
57,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
58,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
59,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1
60,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0
61,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
62,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1
63,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
64,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
65,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1
66,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
67,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1
68,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1
69,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1
70,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1
71,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0
72,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1
73,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0
74,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1
75,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1
76,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0
77,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1
78,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
